,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
71,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx
72,0.813,0.623,9,-4.522,0,0.112,0.148,0.0,0.0908,0.674,84.003,187411,4,0,5fMo4acbRCkXZRsSuwxYZX
73,0.908,0.813,5,-2.749,0,0.0777,0.305,0.0,0.278,0.924,97.018,200785,4,0,4DHDIdeayp8xvlyg22wREO
74,0.841,0.674,2,-5.35,1,0.0962,0.104,0.0,0.131,0.761,90.007,382555,4,0,7LE1K0lZyRFZjSlrnm7lfD
75,0.818,0.673,4,-7.542,0,0.148,0.348,0.0,0.172,0.695,87.961,193636,4,0,5jzEwSyyymBlf1fa1o39T2
76,0.855,0.901,5,-3.291,0,0.186,0.102,9.47e-05,0.0846,0.928,93.995,196262,4,0,5yUW86tRavTvP8OTfVChtL
77,0.742,0.738,1,-4.86,1,0.0558,0.296,0.00126,0.119,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv
78,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,216107,4,0,7ndTONDDRFGiPnnhOzOXxq
79,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,184507,4,0,2dl5K2ScW7jYhAhuem06cm
80,0.874,0.66,6,-3.631,0,0.0626,0.0911,0.0143,0.123,0.593,96.993,222868,4,0,1Hs0fpydWBjawdgCocPaC7
81,0.726,0.902,9,-2.3,1,0.0712,0.135,3.22e-05,0.108,0.415,175.919,223667,4,0,1lyT9DtXlF7bjiwEurRpRU
82,0.664,0.665,10,-3.616,1,0.0879,0.123,0.0,0.411,0.726,173.961,176970,4,0,41BzKiCrKpUQHS3TP0jmdr
83,0.828,0.83,2,-3.371,1,0.047,0.348,1.6e-05,0.0613,0.422,95.007,195066,4,0,6qraVL4IJaIj0IuEexYJNa
84,0.82,0.804,9,-7.226,1,0.0528,0.175,0.00215,0.064,0.844,110.982,211998,4,0,6mm3K0yWp6uzfOMuipM9Zh
85,0.677,0.579,7,-5.715,1,0.185,0.428,6.28e-06,0.15,0.448,175.904,155390,4,0,09HSL5vRZgxXmoSrDVKMDB
86,0.712,0.695,5,-3.746,0,0.191,0.0846,0.0,0.109,0.283,175.912,255605,4,0,4NDIXOvmcKopGcRfs48IyV
87,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4,0,5RubKOuDoPn5Kj5TLVxSxY
88,0.769,0.455,10,-5.698,0,0.155,0.554,2.07e-06,0.251,0.293,95.097,215293,4,1,2sqgNScWya6T8PwKMELYW8
89,0.775,0.847,8,-4.602,0,0.351,0.143,0.0,0.107,0.806,104.817,224740,4,0,2KTCXvWUbqfiinbFe7PJKP
90,0.775,0.701,1,-3.358,1,0.4,0.306,0.0,0.0935,0.578,165.839,211773,4,0,0ZDncRoXNQLpEANaVx4TLo
91,0.598,0.796,6,-5.561,1,0.257,0.134,2.68e-05,0.258,0.834,173.888,147250,4,0,1TGIQTydkggLD4Ikfc2cmY
92,0.797,0.677,10,-5.355,0,0.221,0.0516,0.0,0.0748,0.885,170.03,370467,4,0,3s2pqCMbWnocIzhKJF55Ls
